,id,tweet,subtask_b
0,15923,"# whoisq # wherestheserver # dumpnike # declasfisa democrat support antifa , muslim brotherhood , m , isi , pedophilia , child trafficking , taxpayer funded abortion ’ , election fraud , sedition treason ! ! ! # lockthemallup # wwg wga # qanon ⁦ @ user url",TIN
1,60133,# nopasaran : unity demo oppose far-right # london – # antifa # oct — enough enough ! url,TIN
2,83681,. . . fuck time ?,TIN
3,65507,@ user get feeling kissing @ user behind humiliate later ?,TIN
4,12588,@ user nigga ware da hit,UNT
5,34263,# stopkavanaugh liar like rest # gop url,TIN
6,49139,@ user @ user put delauro police lineup identifying bag lady '' - would picked everytime ! proof either conn voter incompetent vote part vast voter fraud conspiracy ! one vote woman gross ! '',TIN
7,58995,"@ family/friends , tell bad shit bf/gf go right back ! ! !",TIN
8,88490,# christineblaseyford # kavanaugh accuser ... # liberal try every time ... # confirmjudgekavanaugh url,TIN
9,46444,"# arianaasesina ? serious ? ! holy shit , please fucking asshole , n't blame someone death one . sad enough today , n't see ? n't fault none , overdose died . end . stop wanting someone blame , fucker .",TIN
10,60587,@ user hiding ugly personality . worst .,TIN
11,70569,... ... bitch url,UNT
12,44546,@ user @ user @ user @ user @ user @ user @ user @ user @ user ’ shocked learn human trafficker gun . probably illegal . ca need gun control . ’ worry actual crime . pic black gun worse .,TIN
13,51628,# conservative @ user - 're clown ! url,TIN
14,30899,*voice head transfer money credit card* “ bullshit bought pay ”,UNT
15,40110,# kid beating # paraplegic # trump # boy ! # left teach # child hate violence ! # school # teacher # democrat # liberal # walkaway # mom # mother # nea # teachthemyoung # christian # catholic # jew # evangelicals # family # blackwomen # blacktwitter # black # news # medium # disabled # maga url,TIN
16,15998,*gets bitches*,TIN
17,96457,# antifa : take note protest civility . socialism ( aka communism ) never win . inherently evil unsustainable . url,TIN
18,70841,@ user omg real ? ! ? ! ! ? ? ? ? ? ? ) happened peru like year ago inti devaluated fucking much comoletely change coin system money worthless i-,TIN
19,46139,"# conservatism 's disagreement # conservative . conservative ca n't debate honestly , integrity . whatever get thru today , matter . 're fundamentally dishonest people . url",TIN
20,80947,apparently 'm committed going new level since used key . well fuck . curiosity killed cat ( hy ),UNT
21,40386,@ user @ user @ user @ user ’ many shooting virginia ? jacksonville shooter got gun maryland ! ! among poster child gun control ! good ? ! ’ full crap .,TIN
22,98916,"# antifa bedfellow democratic socialist america ( dsa ) # jamesokeefe exposed inserted throughout government , attempting bring # america # trump # maga🇺🇸 # deepstate url",TIN
23,32190,@ user antifa t level influence . 's scary .,TIN
24,27550,"@ user three account . two quasi-anonymous , one completely anon . twitter ever ban one quasi-anon , 'll make two anon account tweet insane shit . drown twitter bullshit . one banned , 'll make even .",TIN
25,24040,# liberal pathetic ! innocent proven guilty mean much ? # democrat look party need rapist hang ! # kavanaughisinnocent # walkawayfromdemocrats . # liberallies straight pitt hell 🔥 url,TIN
26,73516,"$ million reallocated fema ice . guy give zero shit anyone named trump . ’ mid atlantic , get . . url",TIN
27,88905,# fortnitebattleroyale # xboxshare @ user please ban cheating scum . literally invisible url,TIN
28,42112,# sesamestreet # bertandernie conversation unattractive . creator say n't create character gay attacked .,TIN
29,37740,# serenawilliams full ... painful watch listen ...,TIN
30,72405,"# colinkapernaeck done nothing sit as complain . ’ time black people die hard white liberal , think cause aka @ user wake heck stfu ! colin civil right hero martyr . near .",TIN
31,47445,". jeff session : ‘ listen aclu , antifa , black life matter ’ want chicago shooting . url",TIN
32,27158,amazon ship live christmas tree door — stay put damn light ? url,TIN
33,17183,@ user bet lot safer sex tho ? ’ one kid . cant mom get dicked ?,TIN
34,42325,# conservative govt ' @ user made life hell ' : whistleblower say threatened regulator ; thought govt promised protect whistleblower ? url,TIN
35,15180,# fortnitebattleroyale # xboxshare @ user please ban cheating scum . literally invisible url,TIN
36,58026,# maga # qanon # greatawakening # inners # wwg wga # nowcomesthepain # walkaway # goodbyedemocrats ellison accuser say 's sidelined party url,TIN
37,81352,# boycottnfl . @ user dead . @ user @ user url,TIN
38,33133,"@ user # walkawayfromalldemocrats michelle year sure n't need bad advice . new sheriff town , 's # maga . get vote - color , gender ( aka ) american ! ! ! url",TIN
39,91036,# blaseyford ’ comical liberal always want way first woman need treated equal come ford testifying say ’ unfair men asking question . dems woman equal receive special treatment ?,TIN
40,22882,"# ted always feel appropriate public behavior . , often , unable control . # gopdysfunction url",TIN
41,40842,"@ user stick comedy ... n't funny yo start , political commentary pathetic ! ! !",TIN
42,73612,@ user # holder needed impeached,TIN
43,15815,# believeallwomen think thing ca n't get dumber.. happens.. liberal probably n't realize child n't equality . treat woman men same.. pretty sure 'll better result culture,TIN
44,24049,# sierraburgessisaloser phone ding 😂,TIN
45,79204,@ user # metoo racist !,TIN
46,46229,# gop still acting like wimp are.. ! ? ’ yet realized liberal hate regardless sentiments.. either republican stupid get way ’ tilted far left.. # confirmkavanaughnow,TIN
47,42196,# thearchers want brilliant karate kick shit everyone '' '',UNT
48,34669,# dregsofsociety ? ? ? # deplorables liberal usually dehumanize want exterminate later url,TIN
49,34575,# emmyawards - rating tank expected . possibly stand watch many liberal one place one time .,TIN
50,20357,@ user # gutierrez always nothing # racebaiter,TIN
51,52445,"# elitist # actor # nbc # liberal # dems # hollywood # emmy award 'toothless ' # nbc self-promotion onslaught peppered # metoo crack planned , staged okay # democrat # socialist # liberal # left # walkaway ! url",TIN
52,10991,# drford # dearprofessorford fraud female @ user group paid organized # georgesoros url,TIN
53,57135,"# bluewave # dumptrump …give love , cooperate/compromise w/ , conservatives/trump supporter constantly vilify marginalized group , constantly attack woman ’ right make choice body , …",TIN
54,72369,# nightmayor 's dt cycle track easily open antifa tennis court inside crescent height able trash nenshi ’ communist vape shop !,TIN
55,42192,# arunjaitleystepdown shameless # fm history india audacity shamelessness lie public disgrace post .,TIN
56,43587,# conservative £ bn housing on-trick @ user - crock sh # te '' ! @ user # housingcrisis url,TIN
57,10684,week resp done still n't know shit as still vacation mode 😪,UNT
58,41553,# coupdetat # spain # catalona . # spain # fakedemocracy @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user # cddr # shameonspain # wakeupeurope @ user @ user url,TIN
59,62986,"# liberalismisamentaldisorder , also danger country . # liberal showing utterly hateful . care truth , care power .",TIN
60,70051,@ user coranated attack idiot loon ! get worse much worse election ! u imagine idiot want get rid economy along interest rate polished politician ? idiot !,TIN
61,73642,@ user @ user awwww stinking cute ! old ?,TIN
62,10727,"# benghazi # haiti # uraniumone # sethrich justice department need ? double standard ! 're rich powerful n't mean rob , seal murder ! # draintheswamp # hillaryforprison # votered # maga url",UNT
63,11645,# jointhefight join fight american communist ... democrat liberal taken crap edge coming back . openly promoting destruction america . # jointhefightagainstcommunism url,TIN
64,72274,@ user @ user stated talk zionist involvement / metaphysical masturbation disinformation agent taking advantage people lesser intellect . ashamed ’ ’ # zionel,TIN
65,21524,"# khaleesi kinda watching # hiac ! wtf think , person ? pffft pathetic url",TIN
66,84579,and🤷🏽‍♂️ female b shit url,TIN
67,59519,# declassifydocuments love watching liberal like maria squirm . # outnumbered,TIN
68,51386,"# politicsinfocus look donald ! duck , stop patronizing ! url",TIN
69,10918,# carbontax work put ton money back canadian pocket . . @ user . @ user . @ user . @ user part trudeau campaigning national carbon tax . conservative died . want another death ... oblige . url,TIN
70,57541,antonia evans either sex trafficked cremated .,TIN
71,25125,# theview stormy trapped dollar bill face poor pornstar worry democratic party leader,TIN
72,61295,entertainment agency gon na as . url,TIN
73,53351,"# trump really , everything trump another piece evidence obstruction justice . talking crime machine .",TIN
74,25463,"# disarmthem ? go show moronic antifa type , good way encourage dumbass rightfully get speedrocked . open carry user practice weapon retention . gun grab go badly try . get shot , n't . # url",TIN
75,85613,# christinebford # liberalsaredesperate @ user every time liberal n't get way cry racism sexual assault . hard believe,TIN
76,85886,"# cincinnatienquirer step # gun control finally . took # massshhoting damn door step # editor wake , better late never . url",TIN
77,54621,! ! ! ! bitch ’ fucking coming back url,TIN
78,80397,# liberal reaching peak desperation call # phillipruddock talk # turnbull convince help # wentworthvotes sept @ user # auspol # lnp # nswpol @ user @ user @ user # lnpmemes url,TIN
79,68875,$ uicideboy $ halloween aboout get sooooo fucking spooky,UNT
80,67926,"# democrat controlled city strict gun control law @ user want blame # gop um , ’ rich # democrat trying keep black poverty ? # walkaway url",TIN
81,41588,@ user got love people making law tend know nothing subject 're making law . hear gun control law people try pas state .,TIN
82,51948,@ user # walkawayfromcatholicism corrupt core become giant autocratic pedophile ring .,TIN
83,28196,"# california patriot ... especially # ca obama/soros attempting take house seat get control congress . say tj cox . shill candidate fronted dastardly duo . please get vote david valadao house , dist ! follow @ user url",TIN
84,50376,- take nigga name bio . url,TIN
85,45304,# arrestgeorgesoros fund # domesticterrorists # antifa url,TIN
86,27228,# conservative govt run debt spite austerity cut rich doubled wealth . # inequality url via @ user,TIN
87,57326,# crowderconfronts continues expose sjw bully paper tiger conservative fight back truth fact . # dontbeafraid # confrontwithtruth url,TIN
88,88221,# biggbosstelugu many # kaushalarmy cum @ user fan ... url,TIN
89,17714,"# son , knockin fuckin park ... ... url",UNT
90,97610,"@ user @ user @ user okay ? anybody go eredivise score + goal . shit league . bundesliga team competitive euro competition . mexico ’ produced talent like pulisic long time . ’ okay , maybe guy one day .",TIN
91,63048,# kalyani stupid teenager . totally despise atrocity towards aunty anupriya . blame mom ’ death . stop listen anupriya side story make vile accusation # tujhsehairaabta # zeetvserials,TIN
92,30075,# kalyani stupid teenager . totally despise atrocity towards aunty anupriya . blame mom ’ death . stop listen anupriya side story make vile accusation # tujhsehairaabta # zeetvserials,TIN
93,60466,"# christian # america – go # trump ’ example , liberal support open border , guess conservative support school shooting . please explain make america great .",TIN
94,25685,@ user @ user @ user disingenuous person senate . senator would hide shame despicable behavior scotus hearing .,TIN
95,16333,# democrat # liberal # threatened # armed # nazi talk # disarmament # disconnection # military # lifestyle ? # broadcast # armory # killskills # rightfuckingnow url,TIN
96,78417,". wanted tell hang . think ’ fun ! also , lmao dick tongue ? people easily suck . haha kidding aside , aint want tongue dick look hella weird.. choice weird whatever",TIN
97,51525,# avalanche 'm sorry ! see ! love ! asshole ! know # maga,TIN
98,84550,# ff @ user alien future 🙌🏻👽🌃 url,TIN
99,23530,"# familiarwife jh-omg , crazy wj-wait ! ... .yes , interested assistant manager cha bh-you guy look like good pair vo-are '' ? sit jh-do n't ! wj-lets live life . let news-collision hwy , congestion jh-woo-jin~ url",TIN
100,57284,"# thingsdarthvaderwouldneversay yup , white mask privilege 's finest . always trying keep black mask # blacklivesmatter # qanon # antifa # alexjones # infowars # starwars # maytheforcebewithyou # thirdshiftzombies # podcast # radio # whitesupremacy url",TIN
